function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
RXN-9536	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9537	9340.65	5196.37	8473.470000000001	8429.210000000001	4752.08	5937.709999999999	6848.09	5924.9400000000005	3158.9300000000003	5354.58	6893.91	7084.21	8860.64	7396.39
RXN-9540	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9552	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9556	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
RXN-9557	9340.65	5196.37	8473.470000000001	8429.210000000001	4752.08	5937.709999999999	6848.09	5924.9400000000005	3158.9300000000003	5354.58	6893.91	7084.21	8860.64	7396.39
RXN-9558	6696.65	4975.2	6207.72	6914.71	3359.08	4699.129999999999	5661.31	5170.55	3109.2200000000003	4871.29	5470.16	6237.42	6941.589999999999	5135.39
RXN-9597	0.0	1.0	0.0	0.0	0.0	1.29	3.14	0.0	0.0	0.0	0.0	0.0	2.88	0.0
RXN-9598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	2.0	1.0	61.0	8.879999999999999	0.0
RXN-9623	18278.43	13113.53	18395.04	14272.04	10363.91	34877.270000000004	13156.14	9426.96	27037.38	21626.13	11022.32	11550.89	11598.3	13926.62
RXN-9632	7048.5	949.68	6211.75	3734.0	3887.0	3406.79	1899.64	1985.14	42.71	196.04	2529.0	1980.04	3286.1	4565.0
RXN-9633	13401.87	8142.47	11946.19	15431.65	6155.74	15019.67	10297.35	11886.41	13724.75	12879.79	13110.6	15022.71	16940.159999999996	10856.94
