# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
fdbe1e0c8a57c2625ee6ed69fcc0b39e	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2b35a1cfb9d8f16da69d375d605e0301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	39.0	0.0	0.0
3d4191aa5c638179d705a74a693d527d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	67.0	33.0	0.0
26c42539fd77a6332e96903e7aa4f3a1	55.0	25.0	0.0	38.0	12.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9213685a25a905bc069d673095d2a7d4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	30.0	52.0	0.0	0.0
7e32348e73ff8c79234e5d52b500c4c0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	16.0	25.0	41.0	34.0
dcaa2d60c187da76a87f59134d157b3f	0.0	13.0	0.0	62.0	13.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56ba4c4d9e9eb7f1acafb938657fcd28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	62.0	0.0	59.0	0.0
0fe1b915301a8140e3f0eea5353b8a75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	33.0	64.0	33.0	0.0
7f25d7614393808fd7abff08ec1334aa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	55.0
82e005987084a633cc597ef1782f732a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	69.0	0.0	0.0
9f5dcdb97deaa37f4385c6163831cc18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0
72d93067702e2ff3f5212e440dc51ac8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	45.0
9498fe06b6ed3164afd348952a00b480	39.0	26.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3f1143c867371cb5d7500f2a04a8077f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	26.0	0.0	58.0	0.0
fac25d4541b84c4412a77d924b5eefe1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	36.0	55.0	0.0
17e2b86de2fc587567e0aa5b43f81dbe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0
62d06a206cde1d549b22e882eab5565f	0.0	0.0	42.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57368615ab457be44b0e2d9da9f12a47	0.0	0.0	91.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e09f5baf57f21891accebec692c51223	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
94898b512532a55c8773e48d1f362738	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5bc4bddbe43f6438811c091828856561	15.0	0.0	16.0	33.0	0.0	22.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2fbb41d60d70efe2a2ca55e4c2c78484	58.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d10943894b901bdc573d4e44ebbe93e4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	94.0	0.0	0.0
2667237009b5835b6476408dc8f01b33	0.0	0.0	0.0	41.0	0.0	26.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7533d65a6ad386b6e2af79436d53c31f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	70.0	0.0
7bdf77564eec75964b729e2b4263c874	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9289b3f9c1309fbb49a744c6ab7488f4	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adb8657579e73ede67adeef2bc14f490	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
