run_accession	fastq_bytes	country
SRR31240104	1307105893;1367473505	South Africa: DIMAMO
SRR31240106	1151274777;1220026414	South Africa: DIMAMO
SRR31240107	1088430615;1138759997	South Africa: DIMAMO
SRR31240110	1143702109;1213196080	South Africa: DIMAMO
SRR31240112	1168269425;1218316625	South Africa: DIMAMO
SRR31240119	1172185857;1203789152	South Africa: DIMAMO
SRR31240120	1140713103;1199050114	South Africa: DIMAMO
SRR31240122	1061979288;1114867989	South Africa: DIMAMO
SRR31242453	1124779985;1194474341	South Africa: Soweto
SRR31242454	1209478731;1276340077	South Africa: Soweto
SRR31242456	1217409208;1246988087	South Africa: Soweto
SRR31242461	1038288935;1079867701	South Africa: Soweto
SRR31242467	1099666192;1157830259	South Africa: Soweto
SRR31242469	1004768799;1050470477	South Africa: Soweto
SRR31242474	1079830717;1125873989	South Africa: Soweto
SRR31242482	1147699848;1176403983	South Africa: Soweto
SRR31242486	1073764987;1110257267	South Africa: Soweto
SRR31242487	1138438527;1182536815	South Africa: Soweto
SRR31242490	1124379976;1176211821	South Africa: Soweto
SRR31242492	1170457822;1208462261	South Africa: Soweto
SRR31242493	1093913773;1141864598	South Africa: Soweto
SRR31242495	1130932905;1196836275	South Africa: Soweto
SRR31242499	1254220589;1293652882	South Africa: Soweto
SRR31242503	1014581647;1047447894	South Africa: Soweto
SRR31242514	1185654001;1226386085	South Africa: Soweto
SRR31242523	1210947502;1278237113	South Africa: Soweto
SRR31242530	1178380392;1245087742	South Africa: Soweto
SRR31242534	1112775503;1177234434	South Africa: Soweto
SRR31242535	1224639156;1280226273	South Africa: Soweto
SRR31242536	1229873397;1293062848	South Africa: Soweto
SRR31242538	1283727247;1321408579	South Africa: Soweto
SRR31242545	1274608562;1324935922	South Africa: Soweto
SRR31242549	1116530683;1175873895	South Africa: Soweto
SRR31242553	1152655419;1258025191	South Africa: Soweto
SRR31242560	1148308405;1189431667	South Africa: Soweto
SRR31242563	1123579135;1168888265	South Africa: Soweto
SRR31242564	1102939645;1166276041	South Africa: Soweto
SRR31242567	1237401732;1286297788	South Africa: Soweto
SRR31242570	1213249848;1274517040	South Africa: Soweto
SRR31242572	1258643085;1326935802	South Africa: Soweto
SRR31242576	1408513948;1453427717	South Africa: Soweto
SRR31242580	1196937636;1258897179	South Africa: Soweto
SRR31242583	1199753926;1247714755	South Africa: Soweto
SRR31242584	1069397213;1102883573	South Africa: Soweto
SRR31242590	1099442572;1169997632	South Africa: Soweto
