run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR13378584	SAMN17250482	bftm2001	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13378584/SRR13378584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/084/SRR13378584/SRR13378584_2.fastq.gz
SRR13378585	SAMN17250481	bftm1903	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13378585/SRR13378585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/085/SRR13378585/SRR13378585_2.fastq.gz
SRR13378594	SAMN17250473	bftm1602	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/094/SRR13378594/SRR13378594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/094/SRR13378594/SRR13378594_2.fastq.gz
SRR13378597	SAMN17250470	bftm1502	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13378597/SRR13378597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/097/SRR13378597/SRR13378597_2.fastq.gz
SRR13378603	SAMN17250465	bftm1401	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13378603/SRR13378603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/003/SRR13378603/SRR13378603_2.fastq.gz
SRR13378604	SAMN17250464	bftm1303	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/004/SRR13378604/SRR13378604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/004/SRR13378604/SRR13378604_2.fastq.gz
SRR13378608	SAMN17250460	bftm1201	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13378608/SRR13378608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/008/SRR13378608/SRR13378608_2.fastq.gz
SRR13378609	SAMN17250459	bftm1104	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/009/SRR13378609/SRR13378609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/009/SRR13378609/SRR13378609_2.fastq.gz
SRR13378615	SAMN17250454	bftm1002	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/015/SRR13378615/SRR13378615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/015/SRR13378615/SRR13378615_2.fastq.gz
SRR13378617	SAMN17250452	bftm0903	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/017/SRR13378617/SRR13378617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/017/SRR13378617/SRR13378617_2.fastq.gz
SRR13378620	SAMN17250449	bftm0802	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/020/SRR13378620/SRR13378620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/020/SRR13378620/SRR13378620_2.fastq.gz
SRR13378633	SAMN17250437	bftm0402	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/033/SRR13378633/SRR13378633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/033/SRR13378633/SRR13378633_2.fastq.gz
SRR13378634	SAMN17250428	bftm0102	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/034/SRR13378634/SRR13378634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/034/SRR13378634/SRR13378634_2.fastq.gz
